sample_id,subject_folder,class_code,class_name,PCo1,PCo2,oof_predicted_class_code,oof_correct
processed/年轻/1,1,0,年轻,0.38917038479167054,-0.011580620393079777,0,True
processed/年轻/10,10,0,年轻,0.38801871507208385,-0.01404818411138041,0,True
processed/年轻/11,11,0,年轻,0.38113809191167797,-0.010435599624476639,0,True
processed/年轻/12,12,0,年轻,0.38503254458559494,-0.009951813318494667,0,True
processed/年轻/13,13,0,年轻,0.3892070198721546,-0.011221634155214598,0,True
processed/年轻/14,14,0,年轻,0.37452870463743176,-0.02907326440765543,0,True
processed/年轻/15,15,0,年轻,0.37412540523951876,-0.03240053944073388,0,True
processed/年轻/16,16,0,年轻,0.3778787351525305,0.007335998288533267,0,True
processed/年轻/17,17,0,年轻,0.251374916834189,0.11578347600260976,0,True
processed/年轻/18,18,0,年轻,0.3765394884590126,0.009455014719294727,0,True
processed/年轻/19,19,0,年轻,0.3888454365200337,-0.005463902948915385,0,True
processed/年轻/2,2,0,年轻,0.38927790078193963,-0.00801086898190221,0,True
processed/年轻/20,20,0,年轻,0.3002565747007376,-0.1473333283029171,0,True
processed/年轻/21,21,0,年轻,0.38689854575010707,-0.022934276441237543,0,True
processed/年轻/22,22,0,年轻,0.3341393130235923,0.000801272686108993,0,True
processed/年轻/23,23,0,年轻,0.38852337821768546,-0.01970837618067838,0,True
processed/年轻/24,24,0,年轻,0.3880735815099432,-0.016387451945616985,0,True
processed/年轻/25,25,0,年轻,0.2982959792796732,-0.2048469704180219,0,True
processed/年轻/26,26,0,年轻,0.38706164277974886,0.003579720143995929,0,True
processed/年轻/27,27,0,年轻,0.37746183938423455,0.042758207847523176,0,True
processed/年轻/28,28,0,年轻,0.3893520663129658,-0.005175383416229537,0,True
processed/年轻/29,29,0,年轻,0.38928922169259095,-0.011923351747458195,0,True
processed/年轻/3,3,0,年轻,0.36777028803262735,0.006384457327374329,0,True
processed/年轻/30,30,0,年轻,0.3786530413950177,-0.0008359282557348199,0,True
processed/年轻/31,31,0,年轻,0.3875746357662515,-0.008715748211979783,0,True
processed/年轻/32,32,0,年轻,0.36534984404739107,-0.048657032258126565,0,True
processed/年轻/33,33,0,年轻,0.3577114343338579,0.017229225114502093,0,True
processed/年轻/34,34,0,年轻,0.15365462706028762,0.3275776470801798,0,True
processed/年轻/35,35,0,年轻,0.38233532806430404,0.005722736955240388,0,True
processed/年轻/36,36,0,年轻,0.37247816966361164,-0.006566880966329539,0,True
processed/年轻/37,37,0,年轻,0.38935362563657444,-0.008306771301245177,0,True
processed/年轻/38,38,0,年轻,0.388862151435124,-0.011863581085585027,0,True
processed/年轻/39,39,0,年轻,0.38910280865058816,-0.014413531410078144,0,True
processed/年轻/4,4,0,年轻,0.38628215181033143,-0.010648056038632362,0,True
processed/年轻/40,40,0,年轻,0.3892874240371293,-0.009618615782310186,0,True
processed/年轻/41,41,0,年轻,0.36440561298637203,0.0381188024578986,0,True
processed/年轻/42,42,0,年轻,0.38944617090641526,-0.004762944801972557,0,True
processed/年轻/43,43,0,年轻,0.3889410922912844,-0.010529369676198077,0,True
processed/年轻/44,44,0,年轻,0.38899120294225614,-0.002482759249324411,0,True
processed/年轻/45,45,0,年轻,0.3892646634129354,-0.009530527597295288,0,True
processed/年轻/46,46,0,年轻,0.3003471606660362,0.1489122336926702,0,True
processed/年轻/47,47,0,年轻,0.3676381961636526,0.05337160887790485,0,True
processed/年轻/48,48,0,年轻,0.3835873590185286,-0.004290274119717357,0,True
processed/年轻/49,49,0,年轻,0.3873480585732813,-0.0017821597023738938,0,True
processed/年轻/5,5,0,年轻,0.38550770551521496,-0.0314934488896219,0,True
processed/年轻/50,50,0,年轻,0.34238705448226614,0.07792150941993559,0,True
processed/年轻/51,51,0,年轻,0.38695736979139644,-0.0015134038364174377,0,True
processed/年轻/52,52,0,年轻,0.3871960902618724,-0.010331727493616598,0,True
processed/年轻/53,53,0,年轻,0.3417241753596153,0.04226577596819237,0,True
processed/年轻/54,54,0,年轻,0.3096531369081613,0.18836224889090128,0,True
processed/年轻/55,55,0,年轻,0.38581294156181906,-0.0015241826674640495,0,True
processed/年轻/56,56,0,年轻,0.38921702282329596,-0.010290594661357436,0,True
processed/年轻/57,57,0,年轻,0.37157268367746576,-0.06407476421586064,0,True
processed/年轻/58,58,0,年轻,0.37217594845776025,0.019044937890010702,0,True
processed/年轻/59,59,0,年轻,0.38768272318949604,-0.024992219130779324,0,True
processed/年轻/6,6,0,年轻,0.3781688751470103,0.010269635850978962,0,True
processed/年轻/60,60,0,年轻,0.3869735256047134,-0.0150780812556772,0,True
processed/年轻/7,7,0,年轻,0.38823529285754216,-0.019045855766464066,0,True
processed/年轻/8,8,0,年轻,0.3875775528611409,-0.02188374821147926,0,True
processed/年轻/9,9,0,年轻,0.38934769387567614,-0.0032179157278225544,0,True
processed/衰老/1,1,1,衰老,-0.6113433110002622,0.003689882446373068,1,True
processed/衰老/10,10,1,衰老,-0.6083302494546264,0.006287480355515172,1,True
processed/衰老/11,11,1,衰老,-0.5996934047841441,-0.027337274528980014,1,True
processed/衰老/12,12,1,衰老,-0.5918621323270002,-0.013763329011031068,1,True
processed/衰老/13,13,1,衰老,-0.6112945951287779,0.0002885118696692742,1,True
processed/衰老/14,14,1,衰老,-0.5890099534999029,-0.013798338172060364,1,True
processed/衰老/15,15,1,衰老,-0.5603614569604696,-0.0560093543683415,1,True
processed/衰老/16,16,1,衰老,-0.604642267315723,0.02193126061377977,1,True
processed/衰老/17,17,1,衰老,-0.5812994931513301,-0.008515155333590653,1,True
processed/衰老/18,18,1,衰老,-0.5774149823970953,-0.07410147314553868,1,True
processed/衰老/19,19,1,衰老,-0.5629542694645491,0.05807094428458264,1,True
processed/衰老/2,2,1,衰老,-0.6089814469416291,-0.004396308901866956,1,True
processed/衰老/20,20,1,衰老,-0.6074037632090296,0.004476407511909621,1,True
processed/衰老/21,21,1,衰老,-0.569524225504691,0.03452235748342246,1,True
processed/衰老/22,22,1,衰老,-0.6052461602493993,-0.0013511725803162925,1,True
processed/衰老/23,23,1,衰老,-0.5993964052361304,0.008531164067570271,1,True
processed/衰老/24,24,1,衰老,-0.600619534888119,0.06996760500551483,1,True
processed/衰老/25,25,1,衰老,-0.5325921329493073,-0.06395296316617306,1,True
processed/衰老/26,26,1,衰老,-0.5470236473986052,-0.006665409707205117,1,True
processed/衰老/27,27,1,衰老,-0.5859786145489608,-0.01658007825606055,1,True
processed/衰老/28,28,1,衰老,-0.5954003244891694,0.008235824198193843,1,True
processed/衰老/29,29,1,衰老,-0.5980185006963549,-0.011165267164117894,1,True
processed/衰老/3,3,1,衰老,-0.6112884401774569,0.003719604488291505,1,True
processed/衰老/30,30,1,衰老,-0.6095543970004019,-0.0058331426785238165,1,True
