principal_component,explained_variance_ratio,cumulative_explained_variance
PC1,0.5872186076489418,0.5872186076489418
PC2,0.1344869394084773,0.7217055470574192
PC3,0.11032643098013652,0.8320319780375557
PC4,0.05262830299772412,0.8846602810352798
PC5,0.019657725761804693,0.9043180067970845
PC6,0.01386347764676972,0.9181814844438543
PC7,0.009066532360065712,0.92724801680392
PC8,0.007085010612613442,0.9343330274165335
PC9,0.00599154565389032,0.9403245730704238
PC10,0.0050121495601773095,0.9453367226306011
PC11,0.0037873633882275206,0.9491240860188286
PC12,0.0037530262602544656,0.952877112279083
PC13,0.0030029970612305513,0.9558801093403135
PC14,0.0021782802721576743,0.9580583896124713
PC15,0.002146734896107257,0.9602051245085785
PC16,0.001873830036683336,0.9620789545452618
PC17,0.0017775186859511833,0.963856473231213
PC18,0.001672749166644662,0.9655292223978577
PC19,0.0015723891335837677,0.9671016115314415
PC20,0.001447810400584818,0.9685494219320263
PC21,0.001380949573799741,0.9699303715058261
PC22,0.0013307088364003959,0.9712610803422265
PC23,0.0012754686098632318,0.9725365489520897
PC24,0.0012284876721057134,0.9737650366241954
PC25,0.0011672626497810303,0.9749322992739765
PC26,0.0010987713485736213,0.9760310706225501
PC27,0.0010767528187867604,0.9771078234413368
PC28,0.001014944355953236,0.9781227677972901
PC29,0.001007660732187202,0.9791304285294773
PC30,0.0009497809493878284,0.9800802094788651
PC31,0.0009338920827757228,0.9810141015616408
PC32,0.0008510729466786783,0.9818651745083194
PC33,0.0008341699057884559,0.9826993444141079
PC34,0.0007973647281552861,0.9834967091422632
PC35,0.0007526194001356379,0.9842493285423988
PC36,0.0007225761619534257,0.9849719047043523
PC37,0.0007071892463756716,0.985679093950728
PC38,0.0006800271682962493,0.9863591211190242
PC39,0.0006545381497943143,0.9870136592688186
PC40,0.0006044303294689322,0.9876180895982875
PC41,0.0005836153324282263,0.9882017049307157
PC42,0.0005686643600778243,0.9887703692907935
PC43,0.0005401906742735923,0.9893105599650671
PC44,0.0005173600333748238,0.9898279199984419
PC45,0.000492022583294518,0.9903199425817364
PC46,0.0004746557155074136,0.9907945982972438
PC47,0.00045545633754757244,0.9912500546347914
PC48,0.0004362708432244707,0.9916863254780159
PC49,0.0004261185598486993,0.9921124440378647
PC50,0.00040874906610976716,0.9925211931039745
PC51,0.00038443405495320937,0.9929056271589277
PC52,0.0003755771402552203,0.993281204299183
PC53,0.0003596924272788938,0.9936408967264618
PC54,0.0003437347998431028,0.9939846315263049
PC55,0.00031557998846571425,0.9943002115147707
PC56,0.00029417347557676314,0.9945943849903475
PC57,0.00028712623547001123,0.9948815112258175
PC58,0.00028080069809771,0.9951623119239151
PC59,0.00026961257896787605,0.995431924502883
PC60,0.0002461689524646438,0.9956780934553476
PC61,0.00024152776924921178,0.9959196212245969
PC62,0.0002355276819254447,0.9961551489065223
PC63,0.00022936843735593798,0.9963845173438783
PC64,0.00022798987147463134,0.996612507215353
PC65,0.00021024658637338285,0.9968227538017264
PC66,0.00019338639349901764,0.9970161401952253
PC67,0.00018655347902095417,0.9972026936742463
PC68,0.00017691887505710873,0.9973796125493034
PC69,0.00017538213552859675,0.997554994684832
PC70,0.00016077452280446324,0.9977157692076365
PC71,0.0001541076827640491,0.9978698768904005
PC72,0.00014890178193289,0.9980187786723335
PC73,0.00014374848016031192,0.9981625271524938
PC74,0.00013954023934204275,0.9983020673918358
PC75,0.00013522621430631383,0.9984372936061421
PC76,0.0001288188226731008,0.9985661124288152
PC77,0.00011854024577527783,0.9986846526745905
PC78,0.00011286861888982584,0.9987975212934803
PC79,0.00010344929250776363,0.998900970585988
PC80,9.875847998646546e-05,0.9989997290659745
PC81,9.328618402892078e-05,0.9990930152500034
PC82,8.93121603149944e-05,0.9991823274103184
PC83,8.242451971690537e-05,0.9992647519300353
PC84,7.637041956984442e-05,0.9993411223496051
PC85,7.485276280460291e-05,0.9994159751124098
PC86,6.93352920486352e-05,0.9994853104044584
PC87,6.414601830307461e-05,0.9995494564227615
PC88,6.205027384623053e-05,0.9996115066966077
PC89,5.982926547768185e-05,0.9996713359620854
PC90,5.592704841016532e-05,0.9997272630104955
PC91,5.1376250989917425e-05,0.9997786392614855
PC92,4.605186281434776e-05,0.9998246911242998
PC93,4.199436308622102e-05,0.9998666854873861
PC94,3.759209700782185e-05,0.9999042775843939
PC95,3.4808804651939246e-05,0.9999390863890458
PC96,3.0662495132281284e-05,0.9999697488841781
PC97,3.0251115822117805e-05,1.0000000000000002
PC98,8.724505132675282e-31,1.0000000000000002
