sample_id,subject_folder,class_code,class_name,spectra_count,tsne_1,tsne_2,svm_visual_fit_prediction,svm_visual_fit_decision_score
processed/年轻/1,1,0,年轻,8,6.987822,8.383822,0,-1.0425388285665593
processed/年轻/10,10,0,年轻,8,7.654058,8.070602,0,-1.014318979482135
processed/年轻/11,11,0,年轻,8,-1.6639816,8.648319,0,-1.2560610316311847
processed/年轻/12,12,0,年轻,8,-1.0253949,8.93439,0,-1.2657436364051975
processed/年轻/13,13,0,年轻,8,5.526289,-3.7159657,0,-1.009653589634625
processed/年轻/14,14,0,年轻,8,-3.0441766,6.7745776,0,-1.1743603191053682
processed/年轻/15,15,0,年轻,8,6.018107,-3.7552698,0,-1.0047876587508928
processed/年轻/16,16,0,年轻,8,-1.8969766,9.173812,0,-1.1765375008983106
processed/年轻/17,17,0,年轻,8,-0.38668618,10.336412,0,-1.0895644137281384
processed/年轻/18,18,0,年轻,8,-0.015549134,9.307163,0,-1.2437114459045668
processed/年轻/19,19,0,年轻,8,7.77333,8.146929,0,-0.9998072459770468
processed/年轻/2,2,0,年轻,8,6.738601,7.855192,0,-1.10454562704667
processed/年轻/20,20,0,年轻,8,-3.7010925,6.260248,0,-0.9998072634524922
processed/年轻/21,21,0,年轻,8,6.5190125,-0.33484703,0,-1.522137608188875
processed/年轻/22,22,0,年轻,8,6.5563736,3.3288248,0,-1.4730938047945388
processed/年轻/23,23,0,年轻,8,6.5502906,-0.29389247,0,-1.5191333871856887
processed/年轻/24,24,0,年轻,8,7.4588394,0.25854215,0,-1.3660421154422118
processed/年轻/25,25,0,年轻,8,8.275579,0.25985155,0,-1.2033620648353145
processed/年轻/26,26,0,年轻,8,0.5346219,2.2533786,0,-2.04146505977579
processed/年轻/27,27,0,年轻,8,0.5278557,4.534713,0,-1.9622452983311325
processed/年轻/28,28,0,年轻,8,2.635569,0.85583794,0,-2.0817002537449776
processed/年轻/29,29,0,年轻,8,2.4984264,2.721079,0,-2.1347039488182076
processed/年轻/3,3,0,年轻,8,-2.532924,10.366083,0,-0.9998255269233434
processed/年轻/30,30,0,年轻,8,3.5084298,1.6084831,0,-2.0740669953273714
processed/年轻/31,31,0,年轻,8,1.7854459,-0.860412,0,-1.6541147205508915
processed/年轻/32,32,0,年轻,8,4.1719446,4.0665345,0,-1.8243944974664708
processed/年轻/33,33,0,年轻,8,1.0901734,0.88959897,0,-1.9786285287694663
processed/年轻/34,34,0,年轻,8,-3.115313,2.0802062,0,-0.749173359039202
processed/年轻/35,35,0,年轻,8,1.4914222,1.9509448,0,-2.1345280529953623
processed/年轻/36,36,0,年轻,8,3.6525965,2.7754133,0,-2.022334663009255
processed/年轻/37,37,0,年轻,8,2.432976,3.6043572,0,-2.0723148301412744
processed/年轻/38,38,0,年轻,8,2.6653054,-1.4938581,0,-1.5592996766323726
processed/年轻/39,39,0,年轻,8,2.9954052,2.221394,0,-2.1188276469658414
processed/年轻/4,4,0,年轻,8,6.726796,7.202166,0,-1.1583064692446599
processed/年轻/40,40,0,年轻,8,1.1535599,0.047125146,0,-1.8101551185394793
processed/年轻/41,41,0,年轻,8,-1.2394223,2.094067,0,-1.5581397619288726
processed/年轻/42,42,0,年轻,8,-0.7749919,3.077691,0,-1.7955873364448405
processed/年轻/43,43,0,年轻,8,2.539973,-2.235536,0,-1.2754383104040896
processed/年轻/44,44,0,年轻,8,-0.21252637,0.90524876,0,-1.68514599930081
processed/年轻/45,45,0,年轻,8,2.1041694,3.9368756,0,-2.054294110133305
processed/年轻/46,46,0,年轻,8,-1.9676278,0.26060233,0,-0.8179871916402746
processed/年轻/47,47,0,年轻,8,-1.3456761,-0.8479644,0,-0.7026843117465016
processed/年轻/48,48,0,年轻,8,-0.2668784,-0.7068093,0,-1.1839543376520074
processed/年轻/49,49,0,年轻,8,0.21066122,1.4091301,0,-1.8917363806774534
processed/年轻/5,5,0,年轻,8,4.76959,-3.6352694,0,-1.0003850266620662
processed/年轻/50,50,0,年轻,8,-0.7880726,0.17457183,0,-1.294053352207273
processed/年轻/51,51,0,年轻,8,0.21469527,-0.051683825,0,-1.5614558974926014
processed/年轻/52,52,0,年轻,8,3.1848717,0.27492872,0,-1.9972781931004262
processed/年轻/53,53,0,年轻,8,-0.55118006,1.2186785,0,-1.6447743684042015
processed/年轻/54,54,0,年轻,8,-1.9505619,-0.14293265,0,-0.6915639193912069
processed/年轻/55,55,0,年轻,8,-0.5431149,2.4322727,0,-1.8186253417116647
processed/年轻/56,56,0,年轻,8,1.7135663,-2.855915,0,-0.8491392056703722
processed/年轻/57,57,0,年轻,8,2.0004573,6.086463,0,-1.7459454263987422
processed/年轻/58,58,0,年轻,8,0.5111703,3.267391,0,-2.0490625307655312
processed/年轻/59,59,0,年轻,8,3.272482,-1.6152893,0,-1.568025478050349
processed/年轻/6,6,0,年轻,8,-2.0455093,10.104275,0,-1.0609287720708713
processed/年轻/60,60,0,年轻,8,1.6441389,-1.8646263,0,-1.261554118205698
processed/年轻/7,7,0,年轻,8,2.3509755,6.8242,0,-1.6024977344632712
processed/年轻/8,8,0,年轻,8,5.6382923,7.5812497,0,-1.222971185056771
processed/年轻/9,9,0,年轻,8,-0.9070561,9.528805,0,-1.1905587918083238
processed/衰老/1,1,1,衰老,8,-9.565856,-5.619824,1,1.0995542078366183
processed/衰老/10,10,1,衰老,8,-7.6922064,-1.1535754,1,1.5181142339906626
processed/衰老/11,11,1,衰老,8,-7.03447,-6.0713606,1,1.492636753245062
processed/衰老/12,12,1,衰老,8,-6.7105317,-6.9777975,1,1.409070960957787
processed/衰老/13,13,1,衰老,8,-8.805076,-3.581662,1,1.4731380323147367
processed/衰老/14,14,1,衰老,8,-3.8849444,-6.762604,1,1.6561466666498015
processed/衰老/15,15,1,衰老,8,-2.3552315,-6.8727784,1,1.575311381329304
processed/衰老/16,16,1,衰老,8,-9.898479,-5.825222,1,1.000247798144269
processed/衰老/17,17,1,衰老,8,-6.1950116,-6.6653447,1,1.5251055833439962
processed/衰老/18,18,1,衰老,8,-5.9595494,-6.2318034,1,1.6001819982555592
processed/衰老/19,19,1,衰老,8,-11.013619,-3.7622223,1,0.9998758765452744
processed/衰老/2,2,1,衰老,8,-7.3611307,-4.3075204,1,1.615182065997705
processed/衰老/20,20,1,衰老,8,-6.8545213,-2.5888124,1,1.6110812234813874
processed/衰老/21,21,1,衰老,8,-4.408866,-1.995628,1,1.0231639384905102
processed/衰老/22,22,1,衰老,8,-1.018483,-8.395783,1,1.460699750733797
processed/衰老/23,23,1,衰老,8,0.9156398,-7.458824,1,1.0649717606710163
processed/衰老/24,24,1,衰老,8,-8.4803705,-0.6914787,1,1.4717675384981357
processed/衰老/25,25,1,衰老,8,-1.8310946,-8.253592,1,1.533025638912982
processed/衰老/26,26,1,衰老,8,0.9204375,-6.657467,1,0.9013891419430522
processed/衰老/27,27,1,衰老,8,-0.8738902,-7.981146,1,1.4479977861058775
processed/衰老/28,28,1,衰老,8,0.252069,-9.6081505,1,1.2351231161154135
processed/衰老/29,29,1,衰老,8,0.715366,-6.6816616,1,0.9607722060236128
processed/衰老/3,3,1,衰老,8,-5.7437024,-0.16869639,1,0.9997014540973121
processed/衰老/30,30,1,衰老,8,-7.5726376,-4.9812727,1,1.5410754445342636
processed/衰老/31,31,1,衰老,8,-2.4910486,-9.127855,1,1.4498692491640546
processed/衰老/32,32,1,衰老,8,-2.2831616,-6.302113,1,1.5143681229422894
processed/衰老/33,33,1,衰老,8,-6.127238,2.3614929,1,0.5025506064337053
processed/衰老/34,34,1,衰老,8,-4.372566,-3.8915443,1,1.4617114923785932
processed/衰老/35,35,1,衰老,8,-0.11921477,-8.902511,1,1.3339297733422584
processed/衰老/36,36,1,衰老,8,-6.712257,-1.8324224,1,1.5241680589973179
processed/衰老/37,37,1,衰老,8,-3.0194967,-3.2255228,1,0.9287378997593434
processed/衰老/38,38,1,衰老,8,-2.4026177,-3.444488,1,0.7964080733055974
processed/衰老/4,4,1,衰老,8,-5.446651,-0.1316606,1,0.8907742931578433
processed/衰老/5,5,1,衰老,8,-3.5288258,-3.086478,1,1.0505092781267322
processed/衰老/6,6,1,衰老,8,-5.203862,-2.9680703,1,1.4566252432208313
