模型,编号,原标签,合格光谱数,相对路径,预测标签,衰老评分,评分类型,是否正确
PCA-SVM,编号01,年轻,2,年轻/编号01,衰老,0.5795543463579012,SVM决策值；不是概率,False
PCA-SVM,编号02,年轻,2,年轻/编号02,衰老,0.5761740244935043,SVM决策值；不是概率,False
PCA-SVM,编号03,年轻,2,年轻/编号03,衰老,0.5776109308766071,SVM决策值；不是概率,False
PCA-SVM,编号04,年轻,2,年轻/编号04,衰老,0.5787303821727885,SVM决策值；不是概率,False
PCA-SVM,编号05,年轻,2,年轻/编号05,衰老,0.5805759322804396,SVM决策值；不是概率,False
PCA-SVM,编号01,衰老,2,衰老/编号01,衰老,0.35349428008433986,SVM决策值；不是概率,True
PCA-SVM,编号02,衰老,2,衰老/编号02,衰老,0.3530996159103091,SVM决策值；不是概率,True
PCA-SVM,编号03,衰老,2,衰老/编号03,衰老,0.35175841458557344,SVM决策值；不是概率,True
PCA-SVM,编号04,衰老,2,衰老/编号04,衰老,0.3535384255590584,SVM决策值；不是概率,True
PCA-SVM,编号05,衰老,2,衰老/编号05,衰老,0.3567240111979815,SVM决策值；不是概率,True
PCA-逻辑回归,编号01,年轻,2,年轻/编号01,衰老,0.5065906871991782,衰老类预测概率,False
PCA-逻辑回归,编号02,年轻,2,年轻/编号02,衰老,0.5065456276909791,衰老类预测概率,False
PCA-逻辑回归,编号03,年轻,2,年轻/编号03,衰老,0.5065603361158597,衰老类预测概率,False
PCA-逻辑回归,编号04,年轻,2,年轻/编号04,衰老,0.5065784639263338,衰老类预测概率,False
PCA-逻辑回归,编号05,年轻,2,年轻/编号05,衰老,0.5066035700575909,衰老类预测概率,False
PCA-逻辑回归,编号01,衰老,2,衰老/编号01,衰老,0.5036999843149869,衰老类预测概率,True
PCA-逻辑回归,编号02,衰老,2,衰老/编号02,衰老,0.5036968669075147,衰老类预测概率,True
PCA-逻辑回归,编号03,衰老,2,衰老/编号03,衰老,0.5036791384773665,衰老类预测概率,True
PCA-逻辑回归,编号04,衰老,2,衰老/编号04,衰老,0.5036995803708059,衰老类预测概率,True
PCA-逻辑回归,编号05,衰老,2,衰老/编号05,衰老,0.5037389396129042,衰老类预测概率,True
随机森林,编号01,年轻,2,年轻/编号01,年轻,0.222,衰老类预测概率,True
随机森林,编号02,年轻,2,年轻/编号02,年轻,0.22,衰老类预测概率,True
随机森林,编号03,年轻,2,年轻/编号03,年轻,0.222,衰老类预测概率,True
随机森林,编号04,年轻,2,年轻/编号04,年轻,0.222,衰老类预测概率,True
随机森林,编号05,年轻,2,年轻/编号05,年轻,0.222,衰老类预测概率,True
随机森林,编号01,衰老,2,衰老/编号01,年轻,0.266,衰老类预测概率,False
随机森林,编号02,衰老,2,衰老/编号02,年轻,0.262,衰老类预测概率,False
随机森林,编号03,衰老,2,衰老/编号03,年轻,0.264,衰老类预测概率,False
随机森林,编号04,衰老,2,衰老/编号04,年轻,0.264,衰老类预测概率,False
随机森林,编号05,衰老,2,衰老/编号05,年轻,0.264,衰老类预测概率,False
