Raman_shift_cm-1	Intensity
600	0.0067613393
601	0.0068287661
602	0.006827068
603	0.0067562449
604	0.0065907325
605	0.0063878876
606	0.006226207
607	0.0061221862
608	0.0061142558
609	0.0061044035
610	0.0059804961
611	0.0058341004
612	0.0057473583
613	0.0056952211
614	0.0056669372
615	0.0056033248
616	0.0054595412
617	0.0052832096
618	0.0050865292
619	0.0049267563
620	0.0048946805
621	0.0049106932
622	0.0048805336
623	0.0047904454
624	0.0046328709
625	0.0044737879
626	0.0043463799
627	0.0042440861
628	0.0041918038
629	0.0041851116
630	0.0041918773
631	0.004168945
632	0.0041065543
633	0.0040031338
634	0.0038346807
635	0.0036231772
636	0.0034088573
637	0.0032621901
638	0.003256113
639	0.0032604712
640	0.0031452485
641	0.0029978532
642	0.0028899912
643	0.0027964963
644	0.0027072062
645	0.002587544
646	0.0023999607
647	0.002223077
648	0.0021166677
649	0.0020611479
650	0.0020515326
651	0.0020418789
652	0.0019718623
653	0.0018662121
654	0.0017616356
655	0.0016381888
656	0.0014710156
657	0.0012908605
658	0.0011454175
659	0.0010374121
660	0.00096280853
661	0.00087231465
662	0.00071596323
663	0.00056480376
664	0.00048915888
665	0.00040874124
666	0.00023542218
667	5.0598014e-05
668	-5.4641037e-05
669	-0.00012401339
670	-0.00020537115
671	-0.00033282126
672	-0.00054219117
673	-0.0007281228
674	-0.00080841363
675	-0.00084921794
676	-0.00090089652
677	-0.00095121658
678	-0.0010020607
679	-0.0010763614
680	-0.0011996557
681	-0.0013399386
682	-0.0014840722
683	-0.0015755112
684	-0.0015767163
685	-0.00149807
686	-0.0013756069
687	-0.0012161855
688	-0.001070083
689	-0.00089631442
690	-0.00071571384
691	-0.00045109944
692	-9.205354e-05
693	0.00041963914
694	0.001040198
695	0.0018400358
696	0.0027579266
697	0.003889769
698	0.0051643059
699	0.0066782684
700	0.0083529198
701	0.010294756
702	0.01238941
703	0.014789102
704	0.017400498
705	0.020401475
706	0.023725946
707	0.02741839
708	0.031276094
709	0.035411408
710	0.039681305
711	0.044241414
712	0.049051087
713	0.054112421
714	0.059278799
715	0.064570553
716	0.069937181
717	0.075301476
718	0.080590909
719	0.085702296
720	0.090656875
721	0.095342358
722	0.099871979
723	0.10397052
724	0.10771565
725	0.11086276
726	0.11358341
727	0.11561041
728	0.11719362
729	0.11803574
730	0.11837508
731	0.11796989
732	0.11716127
733	0.11563468
734	0.11362632
735	0.110875
736	0.10761332
737	0.10378478
738	0.099767009
739	0.095344818
740	0.090664102
741	0.085642069
742	0.08038832
743	0.075013952
744	0.06976265
745	0.064557069
746	0.059349301
747	0.054190556
748	0.049033725
749	0.044113494
750	0.039512434
751	0.03525114
752	0.031171696
753	0.027389553
754	0.02374946
755	0.020464751
756	0.017493181
757	0.014908423
758	0.012557289
759	0.010483189
760	0.0084734444
761	0.0067222168
762	0.005207599
763	0.0039875424
764	0.0029555061
765	0.0021032994
766	0.0012604025
767	0.00055854573
768	8.3664409e-07
769	-0.00041732679
770	-0.00079745738
771	-0.0010898526
772	-0.0013411786
773	-0.0014622614
774	-0.0014193657
775	-0.0013093507
776	-0.0012664216
777	-0.0012553683
778	-0.0012865805
779	-0.0012921234
780	-0.0012074428
781	-0.0010979202
782	-0.0010375589
783	-0.00097553454
784	-0.00088487116
785	-0.00075004385
786	-0.00055377753
787	-0.00036722119
788	-0.00025913569
789	-0.00019349292
790	-0.00014750757
791	-9.4113709e-05
792	8.2824235e-06
793	0.00012430325
794	0.00022066339
795	0.00030603739
796	0.00038420955
797	0.00046500511
798	0.00054458684
799	0.00063798743
800	0.000765564
801	0.00091326512
802	0.001057992
803	0.0011846265
804	0.0012711345
805	0.0013652995
806	0.0015178673
807	0.0016723563
808	0.0017821209
809	0.0018576379
810	0.0019076761
811	0.001956293
812	0.0020379332
813	0.0021134431
814	0.0021455855
815	0.0021730812
816	0.0022328997
817	0.0023116493
818	0.0023897094
819	0.0024657809
820	0.0025401647
821	0.0026225522
822	0.0027250022
823	0.0027994775
824	0.0027929726
825	0.0027783811
826	0.0028248224
827	0.0029129062
828	0.0030351881
829	0.0031386993
830	0.0031519239
831	0.0031620502
832	0.0032596299
833	0.0033794797
834	0.0034497444
835	0.003495987
836	0.0035496371
837	0.0036283304
838	0.0037511544
839	0.003832942
840	0.0037954438
841	0.0037432307
842	0.0037782115
843	0.0038372549
844	0.003878053
845	0.0038848551
846	0.0038262367
847	0.0037794943
848	0.0038226371
849	0.0038925835
850	0.0039362825
851	0.0039485828
852	0.0039053083
853	0.0038723814
854	0.0039185453
855	0.0039855483
856	0.0040259561
857	0.004033246
858	0.0039956998
859	0.0039480891
860	0.0039177865
861	0.0039033011
862	0.0039213184
863	0.003942905
864	0.003918102
865	0.0038865786
866	0.0038889626
867	0.0039239355
868	0.0039948296
869	0.0040318114
870	0.0039651762
871	0.0038750643
872	0.0038378188
873	0.0038201333
874	0.0038126723
875	0.0037771698
876	0.0036615192
877	0.0035436756
878	0.0034939433
879	0.0034914943
880	0.003522468
881	0.0035428744
882	0.0035012645
883	0.0034401824
884	0.0033902354
885	0.0033472987
886	0.0033160648
887	0.0032885807
888	0.0032603116
889	0.0032212564
890	0.0031587699
891	0.0030823239
892	0.0030057026
893	0.0029282335
894	0.0028487874
895	0.0027679866
896	0.0027025162
897	0.0026220027
898	0.0024871429
899	0.002328044
900	0.0021666967
901	0.0020525831
902	0.0020426
903	0.0020428282
904	0.0019592109
905	0.0018296947
906	0.0016819597
907	0.0015372135
908	0.001421865
909	0.0013055553
910	0.0011545079
911	0.0010243743
912	0.0009701232
913	0.00092863637
914	0.00083046046
915	0.00069790899
916	0.00055010594
917	0.00041594132
918	0.00034225565
919	0.00023305225
920	-1.1422397e-05
921	-0.00028144913
922	-0.00048324047
923	-0.00061005311
924	-0.00065084479
925	-0.00068146831
926	-0.0007917563
927	-0.00091376073
928	-0.0010082261
929	-0.0010826627
930	-0.0011406704
931	-0.0011942579
932	-0.0012545248
933	-0.0013272268
934	-0.0014340295
935	-0.001543519
936	-0.0016471803
937	-0.0016881691
938	-0.0016285151
939	-0.0015043857
940	-0.0013771907
941	-0.0012385528
942	-0.0011341794
943	-0.00098137147
944	-0.00073386722
945	-0.00040339238
946	-4.0541195e-05
947	0.00037200162
948	0.00078799534
949	0.0012895954
950	0.0019127384
951	0.0026135635
952	0.0032830076
953	0.0040079949
954	0.0047930311
955	0.0057296227
956	0.0068387727
957	0.0080708012
958	0.009282181
959	0.010600624
960	0.012063243
961	0.013664811
962	0.015304549
963	0.017033205
964	0.018832971
965	0.020758542
966	0.022755673
967	0.024851446
968	0.027001691
969	0.029305531
970	0.031775272
971	0.034338156
972	0.036849135
973	0.039427307
974	0.042120991
975	0.044912786
976	0.04776825
977	0.050616691
978	0.053357119
979	0.056082623
980	0.058877832
981	0.061701063
982	0.064541489
983	0.06733533
984	0.070086426
985	0.072711776
986	0.075185757
987	0.07748198
988	0.079698239
989	0.081781478
990	0.083810682
991	0.085638924
992	0.087270279
993	0.088700012
994	0.090074592
995	0.091245928
996	0.09226213
997	0.093004724
998	0.093540904
999	0.093802695
1000	0.093914601
1001	0.09378513
1002	0.09354392
1003	0.093050324
1004	0.092366591
1005	0.091396555
1006	0.090225391
1007	0.088833694
1008	0.087406105
1009	0.085772561
1010	0.083940085
1011	0.081859054
1012	0.079613114
1013	0.07724016
1014	0.074908165
1015	0.072487625
1016	0.069966747
1017	0.067319794
1018	0.064574559
1019	0.061766565
1020	0.058989315
1021	0.056198723
1022	0.053385221
1023	0.050559148
1024	0.047727261
1025	0.04493783
1026	0.042208827
1027	0.039560674
1028	0.036991622
1029	0.034496491
1030	0.031995824
1031	0.029569717
1032	0.027238592
1033	0.025041197
1034	0.022943667
1035	0.020932994
1036	0.018927394
1037	0.01701815
1038	0.01518329
1039	0.013492879
1040	0.011938817
1041	0.010554394
1042	0.009267425
1043	0.0080968143
1044	0.0069694734
1045	0.0059494343
1046	0.005012027
1047	0.0041574918
1048	0.0033206626
1049	0.0025592521
1050	0.0018511067
1051	0.0012454697
1052	0.00073588217
1053	0.00031971596
1054	-6.3741671e-05
1055	-0.00040157532
1056	-0.0007415781
1057	-0.0010250452
1058	-0.0012429895
1059	-0.0013915645
1060	-0.001506539
1061	-0.001570914
1062	-0.0016035985
1063	-0.0016023484
1064	-0.0016088879
1065	-0.0015877307
1066	-0.0015041921
1067	-0.0014078576
1068	-0.0013806593
1069	-0.0013771199
1070	-0.0013567359
1071	-0.0012822097
1072	-0.0011326414
1073	-0.00098125251
1074	-0.00089895349
1075	-0.0008185832
1076	-0.00070462669
1077	-0.00057552786
1078	-0.00043864596
1079	-0.00029876416
1080	-0.00016263224
1081	-5.1256405e-05
1082	2.1094015e-06
1083	5.4577987e-05
1084	0.00016737967
1085	0.00030963147
1086	0.00043888233
1087	0.00056537166
1088	0.00068314032
1089	0.00084166191
1090	0.0010900962
1091	0.0013301472
1092	0.0014666576
1093	0.0015489055
1094	0.0016314236
1095	0.0017047695
1096	0.0017661874
1097	0.0018105712
1098	0.0018437309
1099	0.0019035706
1100	0.0020181387
1101	0.002138986
1102	0.0022176921
1103	0.0022941196
1104	0.0023989843
1105	0.0025054501
1106	0.0025863007
1107	0.0026546985
1108	0.0027233311
1109	0.0028023053
1110	0.0029129926
1111	0.0029999645
1112	0.0030023672
1113	0.0029870074
1114	0.0030291341
1115	0.0030932892
1116	0.0031357114
1117	0.0031677159
1118	0.0032062176
1119	0.0032724268
1120	0.0033787691
1121	0.0034598374
1122	0.0034619362
1123	0.0034454201
1124	0.0034668022
1125	0.0034837754
1126	0.0034599797
1127	0.0034351607
1128	0.0034381093
1129	0.0034835672
